userid,log,status,timestamp
101,User Login Successful,INFO,2025-07-06 06:42:26
102,Naming Violation,WARN,2025-07-04 23:52:26
103,User Login Successful,INFO,2025-07-06 14:33:26
104,Connection Timed Out,ERROR,2025-07-09 16:41:26
105,Unauthorized Access Attempt,ERROR,2025-07-07 08:51:26
106,Naming Violation,WARN,2025-07-10 20:42:26
107,Unauthorized Access Attempt,ERROR,2025-07-10 15:37:26
108,Naming Violation,WARN,2025-07-06 22:12:26
109,User Login Successful,INFO,2025-07-10 00:22:26
110,Unauthorized Access Attempt,ERROR,2025-07-07 20:40:26
111,Unauthorized Access Attempt,ERROR,2025-07-06 16:15:26
112,Connection Timed Out,ERROR,2025-07-05 09:40:26
113,Connection Timed Out,ERROR,2025-07-04 19:03:26
114,User Login Successful,INFO,2025-07-05 05:02:26
115,User Login Successful,INFO,2025-07-04 08:33:26
116,Connection Timed Out,ERROR,2025-07-07 04:30:26
117,Unauthorized Access Attempt,ERROR,2025-07-04 20:25:26
118,Naming Violation,WARN,2025-07-09 10:17:26
119,User Login Successful,INFO,2025-07-10 07:00:26
120,User Login Successful,INFO,2025-07-08 08:12:26
121,User Login Successful,INFO,2025-07-09 00:27:26
122,Multiple Failed Attempts,WARN,2025-07-09 09:04:26
123,Multiple Failed Attempts,WARN,2025-07-07 09:11:26
124,Naming Violation,WARN,2025-07-10 10:06:26
125,Unauthorized Access Attempt,ERROR,2025-07-08 15:22:26
126,Unauthorized Access Attempt,ERROR,2025-07-09 22:31:26
127,User Login Successful,INFO,2025-07-10 01:46:26
128,User Login Successful,INFO,2025-07-04 21:44:26
129,Connection Timed Out,ERROR,2025-07-08 15:34:26
130,User Login Successful,INFO,2025-07-10 22:14:26
131,Naming Violation,WARN,2025-07-10 09:22:26
132,Multiple Failed Attempts,WARN,2025-07-07 07:56:26
133,Naming Violation,WARN,2025-07-08 18:39:26
134,Connection Timed Out,ERROR,2025-07-10 15:47:26
135,Unauthorized Access Attempt,ERROR,2025-07-07 04:21:26
136,Unauthorized Access Attempt,ERROR,2025-07-10 18:01:26
137,Multiple Failed Attempts,WARN,2025-07-06 13:08:26
138,User Login Successful,INFO,2025-07-06 08:07:26
139,Multiple Failed Attempts,WARN,2025-07-06 03:19:26
140,Unauthorized Access Attempt,ERROR,2025-07-07 06:05:26
141,Unauthorized Access Attempt,ERROR,2025-07-09 10:30:26
142,Multiple Failed Attempts,WARN,2025-07-06 01:02:26
143,Naming Violation,WARN,2025-07-10 01:10:26
144,User Login Successful,INFO,2025-07-07 10:23:26
145,Connection Timed Out,ERROR,2025-07-09 03:38:26
146,Multiple Failed Attempts,WARN,2025-07-08 21:38:26
147,User Login Successful,INFO,2025-07-08 05:56:26
148,Multiple Failed Attempts,WARN,2025-07-05 05:18:26
149,Naming Violation,WARN,2025-07-07 23:31:26
150,Multiple Failed Attempts,WARN,2025-07-10 04:09:26
151,Unauthorized Access Attempt,ERROR,2025-07-05 14:22:26
152,Unauthorized Access Attempt,ERROR,2025-07-05 02:54:26
153,Unauthorized Access Attempt,ERROR,2025-07-09 08:43:26
154,User Login Successful,INFO,2025-07-08 07:17:26
155,Multiple Failed Attempts,WARN,2025-07-07 20:50:26
156,Multiple Failed Attempts,WARN,2025-07-04 05:10:26
157,Naming Violation,WARN,2025-07-04 17:28:26
158,Connection Timed Out,ERROR,2025-07-06 14:59:26
159,User Login Successful,INFO,2025-07-09 19:27:26
160,Unauthorized Access Attempt,ERROR,2025-07-07 17:49:26
161,User Login Successful,INFO,2025-07-10 04:09:26
162,Connection Timed Out,ERROR,2025-07-08 05:43:26
163,Connection Timed Out,ERROR,2025-07-09 10:12:26
164,Connection Timed Out,ERROR,2025-07-06 20:46:26
165,User Login Successful,INFO,2025-07-09 13:54:26
166,User Login Successful,INFO,2025-07-05 00:20:26
167,User Login Successful,INFO,2025-07-04 22:25:26
168,Multiple Failed Attempts,WARN,2025-07-08 01:44:26
169,Connection Timed Out,ERROR,2025-07-09 23:14:26
170,Unauthorized Access Attempt,ERROR,2025-07-10 13:21:26
171,Naming Violation,WARN,2025-07-05 14:58:26
172,Naming Violation,WARN,2025-07-04 03:47:26
173,Unauthorized Access Attempt,ERROR,2025-07-07 10:54:26
174,Unauthorized Access Attempt,ERROR,2025-07-09 10:22:26
175,Connection Timed Out,ERROR,2025-07-07 13:30:26
176,Naming Violation,WARN,2025-07-06 11:35:26
177,User Login Successful,INFO,2025-07-09 10:14:26
178,Unauthorized Access Attempt,ERROR,2025-07-04 14:51:26
179,User Login Successful,INFO,2025-07-06 10:35:26
180,Multiple Failed Attempts,WARN,2025-07-09 00:40:26
181,User Login Successful,INFO,2025-07-09 10:49:26
182,Naming Violation,WARN,2025-07-09 20:35:26
183,User Login Successful,INFO,2025-07-08 12:12:26
184,Multiple Failed Attempts,WARN,2025-07-06 21:15:26
185,Naming Violation,WARN,2025-07-07 18:29:26
186,Multiple Failed Attempts,WARN,2025-07-07 21:04:26
187,Multiple Failed Attempts,WARN,2025-07-04 09:44:26
188,Naming Violation,WARN,2025-07-06 09:15:26
189,Connection Timed Out,ERROR,2025-07-05 09:49:26
190,Naming Violation,WARN,2025-07-10 21:35:26
191,Connection Timed Out,ERROR,2025-07-08 00:10:26
192,User Login Successful,INFO,2025-07-08 14:43:26
193,Naming Violation,WARN,2025-07-09 18:35:26
194,User Login Successful,INFO,2025-07-10 09:26:26
195,Connection Timed Out,ERROR,2025-07-04 22:09:26
196,Unauthorized Access Attempt,ERROR,2025-07-04 02:14:26
197,Multiple Failed Attempts,WARN,2025-07-08 08:37:26
198,Naming Violation,WARN,2025-07-04 16:25:26
199,Unauthorized Access Attempt,ERROR,2025-07-04 22:52:26
200,User Login Successful,INFO,2025-07-06 20:55:26
